STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/25/11,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/26/11,.,.,1.89,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/27/11,.,.,0.21,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,5/28/11,.,.,0.01,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/2/11,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/3/11,.,.,0.05,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/6/11,.,.,0.2,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/11/11,.,.,0.47,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/14/11,.,.,0.13,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/15/11,.,.,0.84,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/16/11,.,.,0.42,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/18/11,.,.,1.14,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/19/11,.,.,0.9,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/20/11,.,.,0.06,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/21/11,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/26/11,.,.,0.33,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,6/27/11,.,.,1.09,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/3/11,6,1.67,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/8/11,.,.,0.07,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/25/11,.,.,0.78,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,7/30/11,.,.,1.58,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,8/14/11,.,.,0.27,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,8/21/11,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,8/31/11,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/4/11,.,.,0.15,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/5/11,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/9/11,.,.,0.13,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/23/11,14,1.25,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/25/11,.,.,0.33,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/26/11,.,.,0.62,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/27/11,.,.,0.1,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/28/11,.,.,0.1,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/29/11,.,.,0.04,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,9/30/11,.,.,0,.,.,.,.,.,.,.,.,,,,,
